series_id,period_end,fiscal_year,fiscal_quarter,segment,geography,product_line,value,units,basis,source,notes
de_revrec_at_asia_africa_oceania_and_middle_east,2019-01-27,2019,Q1,AT,"Asia, Africa, Oceania, and Middle East",,453,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_asia_africa_oceania_and_middle_east,2019-01-27,2019,Q1,CF,"Asia, Africa, Oceania, and Middle East",,263,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_asia_africa_oceania_and_middle_east,2019-01-27,2019,Q1,FS,"Asia, Africa, Oceania, and Middle East",,30,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_total_asia_africa_oceania_and_middle_east,2019-01-27,2019,Q1,Total,"Asia, Africa, Oceania, and Middle East",,746,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_canada,2019-01-27,2019,Q1,AT,Canada,,172,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_canada,2019-01-27,2019,Q1,CF,Canada,,248,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_canada,2019-01-27,2019,Q1,FS,Canada,,157,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_total_canada,2019-01-27,2019,Q1,Total,Canada,,577,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_central_europe_and_cis,2019-01-27,2019,Q1,AT,Central Europe and CIS,,148,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_central_europe_and_cis,2019-01-27,2019,Q1,CF,Central Europe and CIS,,171,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_central_europe_and_cis,2019-01-27,2019,Q1,FS,Central Europe and CIS,,9,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_total_central_europe_and_cis,2019-01-27,2019,Q1,Total,Central Europe and CIS,,328,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_latin_america,2019-01-27,2019,Q1,AT,Latin America,,548,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_latin_america,2019-01-27,2019,Q1,CF,Latin America,,150,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_latin_america,2019-01-27,2019,Q1,FS,Latin America,,64,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_total_latin_america,2019-01-27,2019,Q1,Total,Latin America,,762,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_united_states,2019-01-27,2019,Q1,AT,United States,,2628,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_united_states,2019-01-27,2019,Q1,CF,United States,,1163,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_united_states,2019-01-27,2019,Q1,FS,United States,,575,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_total_united_states,2019-01-27,2019,Q1,Total,United States,,4366,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_western_europe,2019-01-27,2019,Q1,AT,Western Europe,,848,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_cf_western_europe,2019-01-27,2019,Q1,CF,Western Europe,,337,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_fs_western_europe,2019-01-27,2019,Q1,FS,Western Europe,,20,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_total_western_europe,2019-01-27,2019,Q1,Total,Western Europe,,1205,USDm,rev-rec,filings/2020-02-21__de-us-20200221-q1-10q__468373.md,reconciles=yes
de_revrec_at_asia_africa_oceania_and_middle_east,2019-04-28,2019,Q2,AT,"Asia, Africa, Oceania, and Middle East",,647,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_cf_asia_africa_oceania_and_middle_east,2019-04-28,2019,Q2,CF,"Asia, Africa, Oceania, and Middle East",,328,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_fs_asia_africa_oceania_and_middle_east,2019-04-28,2019,Q2,FS,"Asia, Africa, Oceania, and Middle East",,30,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_total_asia_africa_oceania_and_middle_east,2019-04-28,2019,Q2,Total,"Asia, Africa, Oceania, and Middle East",,1005,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_at_canada,2019-04-28,2019,Q2,AT,Canada,,313,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_cf_canada,2019-04-28,2019,Q2,CF,Canada,,265,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_fs_canada,2019-04-28,2019,Q2,FS,Canada,,153,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_total_canada,2019-04-28,2019,Q2,Total,Canada,,731,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_at_central_europe_and_cis,2019-04-28,2019,Q2,AT,Central Europe and CIS,,393,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_cf_central_europe_and_cis,2019-04-28,2019,Q2,CF,Central Europe and CIS,,155,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_fs_central_europe_and_cis,2019-04-28,2019,Q2,FS,Central Europe and CIS,,9,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_total_central_europe_and_cis,2019-04-28,2019,Q2,Total,Central Europe and CIS,,557,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_at_latin_america,2019-04-28,2019,Q2,AT,Latin America,,772,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_cf_latin_america,2019-04-28,2019,Q2,CF,Latin America,,194,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_fs_latin_america,2019-04-28,2019,Q2,FS,Latin America,,69,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_total_latin_america,2019-04-28,2019,Q2,Total,Latin America,,1035,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_at_united_states,2019-04-28,2019,Q2,AT,United States,,3912,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_cf_united_states,2019-04-28,2019,Q2,CF,United States,,1738,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_fs_united_states,2019-04-28,2019,Q2,FS,United States,,604,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_total_united_states,2019-04-28,2019,Q2,Total,United States,,6254,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_at_western_europe,2019-04-28,2019,Q2,AT,Western Europe,,1360,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_cf_western_europe,2019-04-28,2019,Q2,CF,Western Europe,,379,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_fs_western_europe,2019-04-28,2019,Q2,FS,Western Europe,,21,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_total_western_europe,2019-04-28,2019,Q2,Total,Western Europe,,1760,USDm,rev-rec,filings/2019-05-17__de-us-20190517-q2-10q__469675.md,reconciles=yes
de_revrec_at_asia_africa_oceania_and_middle_east,2019-07-28,2019,Q3,AT,"Asia, Africa, Oceania, and Middle East",,684,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
de_revrec_cf_asia_africa_oceania_and_middle_east,2019-07-28,2019,Q3,CF,"Asia, Africa, Oceania, and Middle East",,375,USDm,rev-rec,filings/2019-08-16__de-us-20190816-q3-10q__469206.md,reconciles=yes
