series_id,period_end,fiscal_year,fiscal_quarter,segment,geography,product_line,value,units,basis,source,notes
de_revrec_net_sales,2019-01-27,2019,Q1,A&T,United States,,2628,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,C&F,United States,,1163,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,FS,United States,,575,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,Total,United States,,4366,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); disclosed total, do not re-sum with cells; confirmed in 2 filings"
de_revrec_net_sales,2019-01-27,2019,Q1,A&T,Canada,,172,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,C&F,Canada,,248,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,FS,Canada,,157,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,Total,Canada,,577,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); disclosed total, do not re-sum with cells; confirmed in 2 filings"
de_revrec_net_sales,2019-01-27,2019,Q1,A&T,Western Europe,,848,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,C&F,Western Europe,,337,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,FS,Western Europe,,20,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,Total,Western Europe,,1205,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); disclosed total, do not re-sum with cells; confirmed in 2 filings"
de_revrec_net_sales,2019-01-27,2019,Q1,A&T,Central Europe and CIS,,148,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,C&F,Central Europe and CIS,,171,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,FS,Central Europe and CIS,,9,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
de_revrec_net_sales,2019-01-27,2019,Q1,Total,Central Europe and CIS,,328,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); disclosed total, do not re-sum with cells; confirmed in 2 filings"
de_revrec_net_sales,2019-01-27,2019,Q1,A&T,Latin America,,548,USDm,rev-rec,filings/2019-02-15__de-us-20190215-q1-10q__469204.md,pre-FY2021 reportable segments (Agriculture & Turf / Construction & Forestry); confirmed in 2 filings
