series_id,period_end,fiscal_year,fiscal_quarter,segment,geography,product_line,value,units,basis,source,notes
de_revrec_product_line,2019-01-27,2019,Q1,Construction and Forestry,,Compact construction,265,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure)
de_revrec_product_line,2019-01-27,2019,Q1,,,Compact construction,265,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure); all segments
de_revrec_product_line,2019-01-27,2019,Q1,Construction and Forestry,,Construction,1009,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure)
de_revrec_product_line,2019-01-27,2019,Q1,,,Construction,1009,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure); all segments
de_revrec_product_line,2019-01-27,2019,Q1,Agriculture and Turf,,Financial products,20,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure)
de_revrec_product_line,2019-01-27,2019,Q1,Construction and Forestry,,Financial products,6,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure)
de_revrec_product_line,2019-01-27,2019,Q1,Financial Services,,Financial products,855,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure)
de_revrec_product_line,2019-01-27,2019,Q1,,,Financial products,881,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure); all segments
de_revrec_product_line,2019-01-27,2019,Q1,Construction and Forestry,,Forestry,352,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure)
de_revrec_product_line,2019-01-27,2019,Q1,,,Forestry,352,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure); all segments
de_revrec_product_line,2019-01-27,2019,Q1,Agriculture and Turf,,Large agriculture,2167,USDm,rev-rec,2019-02-15__de-us-20190215-q1-10q__469204.md; 2020-02-21__de-us-20200221-q1-10q__468373.md,taxonomy=AT/CF (pre-2021 segment structure)
