series_id,period_end,fiscal_year,fiscal_quarter,value,units,source_type,source,notes
de_at_net_sales_legacy,2011-10-31,2011,Q4,6354,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2011-10-31,2011,FY,24094,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2012-01-31,2012,Q1,4724,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913015827/a12-29126_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2012-04-30,2012,Q2,7735,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913045612/a13-6570_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2012-07-31,2012,Q3,7271,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913066988/a13-14192_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported_comparative; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years. taken from the prior-year comparative column of a later filing."
de_at_net_sales_legacy,2012-10-31,2012,Q4,7393,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2012-10-31,2012,FY,27123,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465912079457/a12-27419_1ex99d1.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2013-01-31,2013,Q1,5491,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913015827/a12-29126_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2013-04-30,2013,Q2,8691,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913045612/a13-6570_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
de_at_net_sales_legacy,2013-07-31,2013,Q3,7847,USDm,filing,https://www.sec.gov/Archives/edgar/data/315189/000110465913066988/a13-14192_110q.htm,"segment_basis=legacy-AT; as_reported_or_restated=as_reported; pre-FY2021 Agriculture & Turf reporting basis; A&T was split into Production & Precision Ag and Small Ag & Turf in FY2021. period_end is the calendar month-end label used in the filing itself; Deere's FY2017 10-K later restated the fiscal-year ends onto a 52/53-week basis (FY2016 ended 2016-10-30, FY2015 ended 2015-11-01) but never republished 52/53-week quarter ends for those years."
