series_id,period_end,fiscal_year,fiscal_quarter,value,units,source_type,source,notes
de_cf_net_sales,2019-11-03,2019,FY,11220,USDm,filing,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Construction & Forestry net sales; comparative recast onto the FY2021 three-segment basis (PPA/SAT/CF); originally reported under the legacy-AT single Agriculture & Turf segment; annual (four-quarter) figure, not a quarter"
de_cf_operating_margin,2019-11-03,2019,FY,10.83,percent,inference,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Construction & Forestry operating margin; derived = de_cf_operating_profit / de_cf_net_sales * 100 (denominator is external segment net sales as presented in the earnings-release segment table); annual figure, not a quarter"
de_cf_operating_profit,2019-11-03,2019,FY,1215,USDm,filing,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Construction & Forestry operating profit; comparative recast onto the FY2021 three-segment basis (PPA/SAT/CF); originally reported under the legacy-AT single Agriculture & Turf segment; annual (four-quarter) figure, not a quarter"
de_ppa_net_sales,2019-11-03,2019,FY,13364,USDm,filing,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Production & Precision Ag net sales; comparative recast onto the FY2021 three-segment basis (PPA/SAT/CF); originally reported under the legacy-AT single Agriculture & Turf segment; annual (four-quarter) figure, not a quarter"
de_ppa_operating_margin,2019-11-03,2019,FY,12.94,percent,inference,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Production & Precision Ag operating margin; derived = de_ppa_operating_profit / de_ppa_net_sales * 100 (denominator is external segment net sales as presented in the earnings-release segment table); annual figure, not a quarter"
de_ppa_operating_profit,2019-11-03,2019,FY,1729,USDm,filing,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Production & Precision Ag operating profit; comparative recast onto the FY2021 three-segment basis (PPA/SAT/CF); originally reported under the legacy-AT single Agriculture & Turf segment; annual (four-quarter) figure, not a quarter"
de_sat_net_sales,2019-11-03,2019,FY,10302,USDm,filing,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Small Agriculture & Turf net sales; comparative recast onto the FY2021 three-segment basis (PPA/SAT/CF); originally reported under the legacy-AT single Agriculture & Turf segment; annual (four-quarter) figure, not a quarter"
de_sat_operating_margin,2019-11-03,2019,FY,7.54,percent,inference,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Small Agriculture & Turf operating margin; derived = de_sat_operating_profit / de_sat_net_sales * 100 (denominator is external segment net sales as presented in the earnings-release segment table); annual figure, not a quarter"
de_sat_operating_profit,2019-11-03,2019,FY,777,USDm,filing,filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"segment_basis=modern-PPA; as_reported_or_restated=restated; Small Agriculture & Turf operating profit; comparative recast onto the FY2021 three-segment basis (PPA/SAT/CF); originally reported under the legacy-AT single Agriculture & Turf segment; annual (four-quarter) figure, not a quarter"
de_cf_net_sales,2020-02-02,2020,Q1,2044,USDm,filing,filings/2021-02-19__de-us-20210219-q1-8k__105842.md,segment_basis=modern-PPA; as_reported_or_restated=restated; Construction & Forestry net sales; comparative recast onto the FY2021 three-segment basis (PPA/SAT/CF); originally reported under the legacy-AT single Agriculture & Turf segment
