series_id,period_end,fiscal_year,fiscal_quarter,entity,metric,value,units,source_type,source,notes
de_dealer_sales_incentives_setoff,2022-01-30,2022,1,dealer,dealer sales incentives with a right of set-off against trade receivables,983.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2022-05-01,2022,2,dealer,dealer sales incentives with a right of set-off against trade receivables,1173.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-05-19__de-us-20230519-q2-10q__105852.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2022-07-31,2022,3,dealer,dealer sales incentives with a right of set-off against trade receivables,1370.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-08-18__de-us-20230818-q3-10q__105835.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2022-10-30,2023,4,dealer,dealer sales incentives with a right of set-off against trade receivables,1280.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2023-01-29,2023,1,dealer,dealer sales incentives with a right of set-off against trade receivables,1540.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-02-17__de-us-20230217-q1-10q__105813.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2023-04-30,2023,2,dealer,dealer sales incentives with a right of set-off against trade receivables,1979.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-05-19__de-us-20230519-q2-10q__105852.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2023-07-30,2023,3,dealer,dealer sales incentives with a right of set-off against trade receivables,2240.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-08-18__de-us-20230818-q3-10q__105835.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2023-10-29,2024,4,dealer,dealer sales incentives with a right of set-off against trade receivables,2228.0,USD_millions,filing,challenge/offline-data/deere/filings/2023-11-22__de-us-20231122-q4-10k__105844.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2024-01-28,2024,1,dealer,dealer sales incentives with a right of set-off against trade receivables,2410.0,USD_millions,filing,challenge/offline-data/deere/filings/2024-02-15__de-us-20240215-q1-10q__105826.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2024-04-28,2024,2,dealer,dealer sales incentives with a right of set-off against trade receivables,2650.0,USD_millions,filing,challenge/offline-data/deere/filings/2024-05-16__de-us-20240516-q2-10q__105820.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2024-07-28,2024,3,dealer,dealer sales incentives with a right of set-off against trade receivables,2535.0,USD_millions,filing,challenge/offline-data/deere/filings/2024-08-15__de-us-20240815-q3-10q__105828.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2024-10-27,2025,4,dealer,dealer sales incentives with a right of set-off against trade receivables,2121.0,USD_millions,filing,challenge/offline-data/deere/filings/2024-11-21__de-us-20241121-q4-10k__105810.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2025-01-26,2025,1,dealer,dealer sales incentives with a right of set-off against trade receivables,1901.0,USD_millions,filing,challenge/offline-data/deere/filings/2025-02-13__de-us-20250213-q1-10q__105832.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2025-04-27,2025,2,dealer,dealer sales incentives with a right of set-off against trade receivables,2059.0,USD_millions,filing,challenge/offline-data/deere/filings/2025-05-15__de-us-20250515-q2-10q__105831.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2025-07-27,2025,3,dealer,dealer sales incentives with a right of set-off against trade receivables,2268.0,USD_millions,filing,challenge/offline-data/deere/filings/2025-08-14__de-us-20250814-q3-10q__155834.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2025-11-02,2026,4,dealer,dealer sales incentives with a right of set-off against trade receivables,1892.0,USD_millions,filing,challenge/offline-data/deere/filings/2025-11-26__de-us-20251126-q4-10k__469216.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2026-02-01,2026,1,dealer,dealer sales incentives with a right of set-off against trade receivables,1898.0,USD_millions,filing,challenge/offline-data/deere/filings/2026-02-19__de-us-20260219-q1-10q__648937.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_dealer_sales_incentives_setoff,2026-05-03,2026,2,dealer,dealer sales incentives with a right of set-off against trade receivables,2012.0,USD_millions,filing,challenge/offline-data/deere/filings/2026-05-21__de-us-20260521-q2-10q__1055929.md,"unpaid incentives Deere owes dealers, netted against what dealers owe Deere"
de_net_sales_and_revenues,2014-10-31,2015,4,company,worldwide net sales and revenues (fiscal quarter),8965.0,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001104659-14-087794",
de_net_sales_and_revenues,2015-01-31,2015,1,company,worldwide net sales and revenues (fiscal quarter),6383.1,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001104659-15-014162",
de_net_sales_and_revenues,2015-04-30,2015,2,company,worldwide net sales and revenues (fiscal quarter),8170.7,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001104659-15-041408",
de_net_sales_and_revenues,2015-07-31,2015,3,company,worldwide net sales and revenues (fiscal quarter),7593.7,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-15-001712",
de_net_sales_and_revenues,2015-10-31,2016,4,company,worldwide net sales and revenues (fiscal quarter),6715.0,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001047469-15-009300",
de_net_sales_and_revenues,2016-01-31,2016,1,company,worldwide net sales and revenues (fiscal quarter),5524.5,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-16-003529",
de_net_sales_and_revenues,2016-04-30,2016,2,company,worldwide net sales and revenues (fiscal quarter),7875.4,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-16-006167",
de_net_sales_and_revenues,2016-07-31,2016,3,company,worldwide net sales and revenues (fiscal quarter),6724.4,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-16-008153",
de_net_sales_and_revenues,2016-10-30,2017,4,company,worldwide net sales and revenues (fiscal quarter),6520.0,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001047469-17-007719",
de_net_sales_and_revenues,2017-01-29,2017,1,company,worldwide net sales and revenues (fiscal quarter),5625.2,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-17-000952",
de_net_sales_and_revenues,2017-04-30,2017,2,company,worldwide net sales and revenues (fiscal quarter),8287.0,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-17-004638",
de_net_sales_and_revenues,2017-07-30,2017,3,company,worldwide net sales and revenues (fiscal quarter),7807.8,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-17-006878",
de_net_sales_and_revenues,2017-10-29,2018,4,company,worldwide net sales and revenues (fiscal quarter),8018.0,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001047469-17-007719",
de_net_sales_and_revenues,2018-01-28,2018,1,company,worldwide net sales and revenues (fiscal quarter),6913.5,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-18-001362",
de_net_sales_and_revenues,2018-04-29,2018,2,company,worldwide net sales and revenues (fiscal quarter),10720.0,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-18-005045",
de_net_sales_and_revenues,2018-07-29,2018,3,company,worldwide net sales and revenues (fiscal quarter),10308.3,USD_millions,filing,"SEC EDGAR XBRL companyfacts us-gaap:Revenues, accn 0001558370-18-007303",
