series_id,period_end,fiscal_year,fiscal_quarter,entity,metric,value,units,source_type,source,notes
deere_dealer_loc_us_ca_total_reported,2015-11-01,2015,FY,Deere & Company,dealer_locations_us_canada_total_as_reported,2381,count,filing,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,As-reported headline count; definition includes turf-only locations (pre-FY2018 definition). NOT comparable across FY2017/FY2018 break.
deere_dealer_loc_us_ca_ag,2015-11-01,2015,FY,Deere & Company,dealer_locations_us_canada_selling_ag_equipment,1522,count,filing,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,Locations selling agricultural equipment.
deere_dealer_loc_us_ca_cf,2015-11-01,2015,FY,Deere & Company,dealer_locations_us_canada_selling_construction_forestry,427,count,filing,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,Locations selling construction/earthmoving/material handling/roadbuilding/forestry.
deere_dealer_loc_us_ca_turf_only,2015-11-01,2015,FY,Deere & Company,dealer_locations_us_canada_turf_only,432,count,filing,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,Turf-only locations; many also carry non-Deere lines.
deere_dealer_loc_us_ca_core_ag_cf,2015-11-01,2015,FY,Deere & Company,dealer_locations_us_canada_ag_plus_cf_restated,1949,count,derived,filings/2015-11-25__de-us-20151125-q4-10k__469104.md,DERIVED = ag + C&F locations. The only consistently-defined total across FY2015-FY2025; strips the FY2018 turf-only definitional break.
deere_dealer_loc_us_ca_total_reported,2016-10-30,2016,FY,Deere & Company,dealer_locations_us_canada_total_as_reported,2365,count,filing,filings/2016-11-23__de-us-20161123-q4-10k__469184.md,As-reported headline count; definition includes turf-only locations (pre-FY2018 definition). NOT comparable across FY2017/FY2018 break.
deere_dealer_loc_us_ca_ag,2016-10-30,2016,FY,Deere & Company,dealer_locations_us_canada_selling_ag_equipment,1522,count,filing,filings/2016-11-23__de-us-20161123-q4-10k__469184.md,Locations selling agricultural equipment.
deere_dealer_loc_us_ca_cf,2016-10-30,2016,FY,Deere & Company,dealer_locations_us_canada_selling_construction_forestry,424,count,filing,filings/2016-11-23__de-us-20161123-q4-10k__469184.md,Locations selling construction/earthmoving/material handling/roadbuilding/forestry.
deere_dealer_loc_us_ca_turf_only,2016-10-30,2016,FY,Deere & Company,dealer_locations_us_canada_turf_only,419,count,filing,filings/2016-11-23__de-us-20161123-q4-10k__469184.md,Turf-only locations; many also carry non-Deere lines.
deere_dealer_loc_us_ca_core_ag_cf,2016-10-30,2016,FY,Deere & Company,dealer_locations_us_canada_ag_plus_cf_restated,1946,count,derived,filings/2016-11-23__de-us-20161123-q4-10k__469184.md,DERIVED = ag + C&F locations. The only consistently-defined total across FY2015-FY2025; strips the FY2018 turf-only definitional break.
deere_dealer_loc_us_ca_total_reported,2017-10-29,2017,FY,Deere & Company,dealer_locations_us_canada_total_as_reported,2359,count,filing,filings/2017-11-22__de-us-20171122-q4-10k__468364.md,As-reported headline count; definition includes turf-only locations (pre-FY2018 definition). NOT comparable across FY2017/FY2018 break.
deere_dealer_loc_us_ca_ag,2017-10-29,2017,FY,Deere & Company,dealer_locations_us_canada_selling_ag_equipment,1532,count,filing,filings/2017-11-22__de-us-20171122-q4-10k__468364.md,Locations selling agricultural equipment.
deere_dealer_loc_us_ca_cf,2017-10-29,2017,FY,Deere & Company,dealer_locations_us_canada_selling_construction_forestry,424,count,filing,filings/2017-11-22__de-us-20171122-q4-10k__468364.md,Locations selling construction/earthmoving/material handling/roadbuilding/forestry.
deere_dealer_loc_us_ca_turf_only,2017-10-29,2017,FY,Deere & Company,dealer_locations_us_canada_turf_only,403,count,filing,filings/2017-11-22__de-us-20171122-q4-10k__468364.md,Turf-only locations; many also carry non-Deere lines.
deere_dealer_loc_us_ca_core_ag_cf,2017-10-29,2017,FY,Deere & Company,dealer_locations_us_canada_ag_plus_cf_restated,1956,count,derived,filings/2017-11-22__de-us-20171122-q4-10k__468364.md,DERIVED = ag + C&F locations. The only consistently-defined total across FY2015-FY2025; strips the FY2018 turf-only definitional break.
deere_dealer_loc_us_ca_total_reported,2018-10-28,2018,FY,Deere & Company,dealer_locations_us_canada_total_as_reported,1981,count,filing,filings/2018-11-21__de-us-20181121-q4-10k__469201.md,As-reported headline count; definition excludes turf-only and roadbuilding-only locations. NOT comparable across FY2017/FY2018 break.
deere_dealer_loc_us_ca_ag,2018-10-28,2018,FY,Deere & Company,dealer_locations_us_canada_selling_ag_equipment,1539,count,filing,filings/2018-11-21__de-us-20181121-q4-10k__469201.md,Locations selling agricultural equipment.
deere_dealer_loc_us_ca_cf,2018-10-28,2018,FY,Deere & Company,dealer_locations_us_canada_selling_construction_forestry,430,count,filing,filings/2018-11-21__de-us-20181121-q4-10k__469201.md,Locations selling construction/earthmoving/material handling/roadbuilding/forestry.
deere_dealer_loc_us_ca_turf_only,2018-10-28,2018,FY,Deere & Company,dealer_locations_us_canada_turf_only,392,count,filing,filings/2018-11-21__de-us-20181121-q4-10k__469201.md,Turf-only locations; many also carry non-Deere lines.
deere_dealer_loc_us_ca_core_ag_cf,2018-10-28,2018,FY,Deere & Company,dealer_locations_us_canada_ag_plus_cf_restated,1969,count,derived,filings/2018-11-21__de-us-20181121-q4-10k__469201.md,DERIVED = ag + C&F locations. The only consistently-defined total across FY2015-FY2025; strips the FY2018 turf-only definitional break.
deere_dealer_loc_us_ca_total_reported,2019-11-03,2019,FY,Deere & Company,dealer_locations_us_canada_total_as_reported,1977,count,filing,filings/2019-11-27__de-us-20191127-q4-10k__469283.md,As-reported headline count; definition excludes turf-only and roadbuilding-only locations. NOT comparable across FY2017/FY2018 break.
deere_dealer_loc_us_ca_ag,2019-11-03,2019,FY,Deere & Company,dealer_locations_us_canada_selling_ag_equipment,1541,count,filing,filings/2019-11-27__de-us-20191127-q4-10k__469283.md,Locations selling agricultural equipment.
deere_dealer_loc_us_ca_cf,2019-11-03,2019,FY,Deere & Company,dealer_locations_us_canada_selling_construction_forestry,436,count,filing,filings/2019-11-27__de-us-20191127-q4-10k__469283.md,Locations selling construction/earthmoving/material handling/roadbuilding/forestry.
deere_dealer_loc_us_ca_turf_only,2019-11-03,2019,FY,Deere & Company,dealer_locations_us_canada_turf_only,375,count,filing,filings/2019-11-27__de-us-20191127-q4-10k__469283.md,Turf-only locations; many also carry non-Deere lines.
deere_dealer_loc_us_ca_core_ag_cf,2019-11-03,2019,FY,Deere & Company,dealer_locations_us_canada_ag_plus_cf_restated,1977,count,derived,filings/2019-11-27__de-us-20191127-q4-10k__469283.md,DERIVED = ag + C&F locations. The only consistently-defined total across FY2015-FY2025; strips the FY2018 turf-only definitional break.
deere_dealer_loc_us_ca_total_reported,2020-11-01,2020,FY,Deere & Company,dealer_locations_us_canada_total_as_reported,1981,count,filing,filings/2020-11-25__de-us-20201125-q4-10k__105845.md,As-reported headline count; definition excludes turf-only and roadbuilding-only locations. NOT comparable across FY2017/FY2018 break.
