series_id,period_end,fiscal_year,fiscal_quarter,entity,metric,value,units,source_type,source,notes
cerv_adjusted_income_before_tax,2020-12-31,2020,FY,Cervus Equipment (TSX:CERV),adjusted_income_before_tax,27.7,CAD_millions,press_release,https://www.newswire.ca/news-releases/cervus-announces-40-million-increase-in-2020-adjusted-income-before-tax-and-increase-to-quarterly-dividend-801578751.html (published 2021-03-10),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag."
cerv_ag_used_equipment_inventory,2019-06-30,2019,Q2,Cervus Equipment (TSX:CERV),ag_used_equipment_inventory,181.0,CAD_millions,press_release,https://www.newswire.ca/news-releases/cervus-announces-2019-results-and-quarterly-dividend-845807347.html (published 2020-03-11),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag. | Agriculture segment used-equipment inventory at the cycle peak"
cerv_ag_used_equipment_inventory,2019-12-31,2019,Q4,Cervus Equipment (TSX:CERV),ag_used_equipment_inventory,114.0,CAD_millions,press_release,https://www.newswire.ca/news-releases/cervus-announces-2019-results-and-quarterly-dividend-845807347.html (published 2020-03-11),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag. | Agriculture segment used-equipment inventory, -37% vs the June 2019 peak"
cerv_ag_used_equipment_turnover_target,2020-12-31,2020,FY,Cervus Equipment (TSX:CERV),ag_used_equipment_turnover_target,2.5,turns_per_year,press_release,https://www.newswire.ca/news-releases/cervus-announces-40-million-increase-in-2020-adjusted-income-before-tax-and-increase-to-quarterly-dividend-801578751.html (published 2021-03-10),Company-stated internal target for agriculture used-equipment turnover
cerv_ag_used_equipment_turnover_ttm,2019-06-30,2019,Q2,Cervus Equipment (TSX:CERV),ag_used_equipment_turnover_ttm,1.62,turns_per_year,press_release,https://www.newswire.ca/news-releases/cervus-announces-2019-results-and-quarterly-dividend-845807347.html (published 2020-03-11),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag. | USED-EQUIPMENT TURNOVER is the calibration anchor: Cervus stated an internal target of 2.50x. <2x = stressed Deere dealer; ~2.9x = healthy."
cerv_ag_used_equipment_turnover_ttm,2019-12-31,2019,FY,Cervus Equipment (TSX:CERV),ag_used_equipment_turnover_ttm,1.78,turns_per_year,press_release,https://www.newswire.ca/news-releases/cervus-announces-2019-results-and-quarterly-dividend-845807347.html (published 2020-03-11),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag. | USED-EQUIPMENT TURNOVER is the calibration anchor: Cervus stated an internal target of 2.50x. <2x = stressed Deere dealer; ~2.9x = healthy."
cerv_ag_used_equipment_turnover_ttm,2020-12-31,2020,FY,Cervus Equipment (TSX:CERV),ag_used_equipment_turnover_ttm,2.87,turns_per_year,press_release,https://www.newswire.ca/news-releases/cervus-announces-40-million-increase-in-2020-adjusted-income-before-tax-and-increase-to-quarterly-dividend-801578751.html (published 2021-03-10),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag. | USED-EQUIPMENT TURNOVER is the calibration anchor: Cervus stated an internal target of 2.50x. <2x = stressed Deere dealer; ~2.9x = healthy."
cerv_eps_basic,2018-12-31,2018,FY,Cervus Equipment (TSX:CERV),eps_basic,1.58,CAD_per_share,press_release,https://www.newswire.ca/news-releases/cervus-announces-2019-results-and-quarterly-dividend-845807347.html (published 2020-03-11),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag."
cerv_eps_basic,2019-12-31,2019,FY,Cervus Equipment (TSX:CERV),eps_basic,-0.56,CAD_per_share,press_release,https://www.newswire.ca/news-releases/cervus-announces-2019-results-and-quarterly-dividend-845807347.html (published 2020-03-11),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag."
cerv_eps_basic,2020-12-31,2020,FY,Cervus Equipment (TSX:CERV),eps_basic,1.62,CAD_per_share,press_release,https://www.newswire.ca/news-releases/cervus-announces-40-million-increase-in-2020-adjusted-income-before-tax-and-increase-to-quarterly-dividend-801578751.html (published 2021-03-10),"Cervus Equipment: genuine John Deere dealer (largest Deere dealer group in Canada, plus AU/NZ Deere branches); TSX-listed until the Brandt acquisition closed in 2021. HISTORICAL CALIBRATION ONLY - not a current signal. Reported in CAD, calendar fiscal year. Group also carried Peterbilt (Transportation) and Bobcat/JCB (Industrial), so consolidated figures are not pure Deere-ag."
