series_id,period_end,fiscal_year,fiscal_quarter,value,units,source_type,source,notes
ar_ag_value_added_pct_gdp,2006-12-31,2006,FY,6.935572,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2007-12-31,2007,FY,7.452354,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2008-12-31,2008,FY,7.318955,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2009-12-31,2009,FY,5.273623,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2010-12-31,2010,FY,7.132167,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2011-12-31,2011,FY,6.998734,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2012-12-31,2012,FY,5.781744,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2013-12-31,2013,FY,6.052918,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2014-12-31,2014,FY,6.712704,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
ar_ag_value_added_pct_gdp,2015-12-31,2015,FY,5.156686,percent,api,https://api.worldbank.org/v2/country/BRA;ARG;EUU;USA/indicator/NV.AGR.TOTL.ZS?format=json&per_page=2000&date=2006:2026,"Agriculture, forestry and fishing value added as % of GDP. Country=ARG. EUU=European Union aggregate. World Bank data lag 1-2 years, so recent years may be absent."
