series_id,period_end,fiscal_year,fiscal_quarter,segment,geography,product_line,value,units,basis,source,notes
drv_aaom_australia_winter_crop,,2027,,,"Asia, Africa, Oceania, and Middle East",,54.5,million_tonnes,driver,https://www.agriculture.gov.au/abares/research-topics/agricultural-outlook/australian-crop-report/june-2026,"ABARES June 2026 crop report: Australian 2026/27 winter crop forecast, -21% YoY on lower planted area and yields. Wheat specifically forecast down ~26%. A clear negative for Deere's Oceania ag demand into FY2027"
drv_aaom_australia_winter_crop_yoy,,2027,,,"Asia, Africa, Oceania, and Middle East",,-21,percent_yoy,driver,https://www.agriculture.gov.au/abares/research-topics/agricultural-outlook/australian-crop-report/june-2026,ABARES June 2026: Australian 2026/27 winter crop production YoY
drv_aaom_india_mahindra_tractor_units,2026-07-31,2026,Q3,,"Asia, Africa, Oceania, and Middle East",,32643,units_month,driver,https://www.mahindra.com/news-room/press-release/en/mahindra-farm-equipment-business-sells-32643-tractors-in-july-2026-registering-a-growth-of-21-percent,"Mahindra domestic tractor sales July 2026, +21% YoY vs 26,990. Market-leader read-through for the Indian small-ag market Deere competes in"
drv_aaom_india_tractor_retail_units,2026-07-31,2026,Q3,,"Asia, Africa, Oceania, and Middle East",,117349,units_month,driver,https://www.whalesbook.com/news/English/auto/India-Tractor-Sales-Surge-28percent-in-July-to-117349-Units/6a783db173b576501a06369a,"India tractor sales, JULY 2026 MONTH ONLY, +28.1% YoY. A separate retail-only count (FADA-style) puts July at 107,329 units, +27.82% YoY -- the two counts differ in scope, both are reported"
drv_aaom_india_tractor_retail_yoy,2026-07-31,2026,Q3,,"Asia, Africa, Oceania, and Middle East",,28.1,percent_yoy,driver,https://www.whalesbook.com/news/English/auto/India-Tractor-Sales-Surge-28percent-in-July-to-117349-Units/6a783db173b576501a06369a,"India tractor market July 2026 YoY; driven by favourable monsoon, recovered reservoir levels and accelerated kharif sowing"
drv_aaom_usdinr,2015-01-31,2015,Q1,,"Asia, Africa, Oceania, and Middle East",,62.1990,INR_per_USD,driver,FRED:DEXINUS,Daily INR per USD averaged over the fiscal quarter; India is the largest unit-volume market in this geography; fiscal-quarter mean of 59 raw observations; period_end=nominal
drv_aaom_usdinr,2015-04-30,2015,Q2,,"Asia, Africa, Oceania, and Middle East",,62.3889,INR_per_USD,driver,FRED:DEXINUS,Daily INR per USD averaged over the fiscal quarter; India is the largest unit-volume market in this geography; fiscal-quarter mean of 63 raw observations; period_end=nominal
drv_aaom_usdinr,2015-07-31,2015,Q3,,"Asia, Africa, Oceania, and Middle East",,63.6997,INR_per_USD,driver,FRED:DEXINUS,Daily INR per USD averaged over the fiscal quarter; India is the largest unit-volume market in this geography; fiscal-quarter mean of 64 raw observations; period_end=nominal
drv_aaom_usdinr,2015-10-31,2015,Q4,,"Asia, Africa, Oceania, and Middle East",,65.4300,INR_per_USD,driver,FRED:DEXINUS,Daily INR per USD averaged over the fiscal quarter; India is the largest unit-volume market in this geography; fiscal-quarter mean of 63 raw observations; period_end=nominal
drv_aaom_usdinr,2016-01-31,2016,Q1,,"Asia, Africa, Oceania, and Middle East",,66.6380,INR_per_USD,driver,FRED:DEXINUS,Daily INR per USD averaged over the fiscal quarter; India is the largest unit-volume market in this geography; fiscal-quarter mean of 60 raw observations; period_end=nominal
