series_id,date,plant,city,state_or_region,country,segment,metric,value,units,source_type,source,notes
br_exports_hs8429,2016-12-31,,,,Brazil,,exports_annual,1353080823,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2017-12-31,,,,Brazil,,exports_annual,2239622984,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2018-12-31,,,,Brazil,,exports_annual,2578870931,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2019-12-31,,,,Brazil,,exports_annual,2282445536,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2020-12-31,,,,Brazil,,exports_annual,1365957293,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2021-12-31,,,,Brazil,,exports_annual,2268698322,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2022-12-31,,,,Brazil,,exports_annual,2779573051,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2023-12-31,,,,Brazil,,exports_annual,3475908666,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2024-12-31,,,,Brazil,,exports_annual,2667111593,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
br_exports_hs8429,2025-12-31,,,,Brazil,,exports_annual,2753601971,USD,trade-data,"UN Comtrade public preview API, reporter=Brazil","HS 8429 (self-propelled construction machinery); partner=World; whole-industry HS flow, NOT Deere-only -- every manufacturer shipping from Brazil is in it"
