series_id,date,plant,city,state_or_region,country,segment,metric,value,units,source_type,source,notes
plant.waterloo.products_count,2025-12-01,John Deere Waterloo Works / Engine Works / Foundry / Drivetrain,Waterloo,Iowa,United States,PPA;CF,products_count,5,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=mixed; orientation_basis=largest Deere tractor complex; 7/8/9R tractors sold in NA and exported; products=large ag tractors (7/8/9 Series) | diesel engines | drivetrain components | foundry castings | product engineering
plant.east-moline.products_count,2025-12-01,John Deere Harvester Works,East Moline,Illinois,United States,PPA,products_count,4,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=mixed; orientation_basis=sole NA combine plant; supplies NA plus export; products=combine harvesters (S/X Series) | corn heads | draper platforms | combine product engineering
plant.moline-seeding-cylinder.products_count,2025-12-01,John Deere Seeding Group / Cylinder Works (Moline),Moline,Illinois,United States,PPA,products_count,3,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=domestic; orientation_basis=row-crop planters primarily for NA row-crop market; products=planters and seeding equipment | hydraulic cylinders | performance upgrade kits
plant.des-moines.products_count,2025-12-01,John Deere Des Moines Works,Ankeny (Des Moines),Iowa,United States,PPA,products_count,4,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=mixed; orientation_basis=cotton harvesters exported; seeding/tillage mainly NA; products=seeding equipment | sprayers | tillage equipment | cotton harvesters
plant.dubuque.products_count,2025-12-01,John Deere Dubuque Works,Dubuque,Iowa,United States,CF,products_count,8,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=mixed; products=backhoe loaders | compact track loaders | crawler dozers | high-speed dozers | knuckleboom loaders | skid-steer loaders | tracked feller bunchers | tracked harvesters
plant.davenport.products_count,2025-12-01,John Deere Davenport Works,Davenport,Iowa,United States,CF,products_count,7,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=mixed; products=articulated dump trucks | cabs | felling heads | 4WD loaders | motor graders | skidders | wheeled feller bunchers
plant.ottumwa.products_count,2025-12-01,John Deere Ottumwa Works,Ottumwa,Iowa,United States,SAT,products_count,4,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=inference; orientation=mixed; orientation_basis=hay & forage sits in Small Ag & Turf; segment not in 10-K Item 2 table; products=hay and forage equipment | large square balers | round balers | self-propelled windrowers
plant.clarion.products_count,2025-12-01,John Deere Clarion (Hagie),Clarion,Iowa,United States,PPA,products_count,2,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=inference; orientation=domestic; products=self-propelled sprayers | detasselers
plant.paton.products_count,2025-12-01,John Deere Paton,Paton,Iowa,United States,PPA,products_count,2,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=inference; orientation=domestic; products=planting equipment | tillage equipment
plant.rock-valley.products_count,2025-12-01,John Deere Rock Valley (all-makes parts),Rock Valley,Iowa,United States,,products_count,1,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=inference; orientation=domestic; products=all-makes replacement parts manufacturing and distribution
plant.augusta.products_count,2025-12-01,John Deere Augusta Works (North and South factories),Augusta / Grovetown,Georgia,United States,SAT,products_count,2,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=export; orientation_basis=Deere: 27 models distributed across North America and exported to 40+ countries; products=compact utility tractors (1/2/3/4 Family) | utility tractors
plant.greeneville.products_count,2025-12-01,John Deere Greeneville (John Deere Power Products),Greeneville,Tennessee,United States,SAT,products_count,2,count,company-site,"Deere & Company, 'John Deere Worldwide - All locations', December 2025, https://www.deere.com/assets/pdfs/common/our-company/about/jd-world-locations.pdf",geo_cell=United States; seg_src=filing; orientation=domestic; products=riding lawn equipment | residential mowers
