series_id,period_end,fiscal_year,fiscal_quarter,geography,country,segment,value,units,source_type,source,notes
de_rev_ce_cis_at,2019-01-27,2019,Q1,Central Europe and CIS,,"AT (PPA+SAT, pre-2020 basis)",148,USDm,10-Q,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2019-01-27,2019,Q1,Central Europe and CIS,,CF,171,USDm,10-Q,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2019-01-27,2019,Q1,Central Europe and CIS,,FS,9,USDm,10-Q,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2019-01-27,2019,Q1,Central Europe and CIS,,TOTAL,328,USDm,10-Q,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_at,2019-04-28,2019,Q2,Central Europe and CIS,,"AT (PPA+SAT, pre-2020 basis)",393,USDm,10-Q,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2019-04-28,2019,Q2,Central Europe and CIS,,CF,155,USDm,10-Q,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_fs,2019-04-28,2019,Q2,Central Europe and CIS,,FS,9,USDm,10-Q,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_total,2019-04-28,2019,Q2,Central Europe and CIS,,TOTAL,557,USDm,10-Q,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_at,2019-07-28,2019,Q3,Central Europe and CIS,,"AT (PPA+SAT, pre-2020 basis)",324,USDm,10-Q,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
de_rev_ce_cis_cf,2019-07-28,2019,Q3,Central Europe and CIS,,CF,229,USDm,10-Q,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,ASC 606 revenue-recognition basis; does NOT tie to 8-K segment net sales
