series_id,period_end,fiscal_year,fiscal_quarter,geography,country,segment,value,units,source_type,source,notes
de_rev606_latam,2019-01-27,2019,Q1,Latin America,,CF,150,USDm,filing,challenge/offline-data/deere/filings/2020-02-21__de-us-20200221-q1-10q__468373.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 548 (pre-PPA/SAT split)"
de_rev606_latam,2019-01-27,2019,Q1,Latin America,,FS,64,USDm,filing,challenge/offline-data/deere/filings/2020-02-21__de-us-20200221-q1-10q__468373.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 548 (pre-PPA/SAT split)"
de_rev606_latam,2019-01-27,2019,Q1,Latin America,,TOTAL,762,USDm,filing,challenge/offline-data/deere/filings/2020-02-21__de-us-20200221-q1-10q__468373.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 548 (pre-PPA/SAT split)"
de_rev606_latam,2019-01-27,2019,Q1,Latin America,,AT_COMBINED,548,USDm,filing,challenge/offline-data/deere/filings/2020-02-21__de-us-20200221-q1-10q__468373.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 548 (pre-PPA/SAT split)"
de_rev606_latam,2019-04-28,2019,Q2,Latin America,,CF,194,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 772 (pre-split)"
de_rev606_latam,2019-04-28,2019,Q2,Latin America,,FS,69,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 772 (pre-split)"
de_rev606_latam,2019-04-28,2019,Q2,Latin America,,TOTAL,1035,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 772 (pre-split)"
de_rev606_latam,2019-04-28,2019,Q2,Latin America,,AT_COMBINED,772,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 772 (pre-split)"
de_rev606_latam,2019-07-28,2019,Q3,Latin America,,CF,171,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 708 (pre-split)"
de_rev606_latam,2019-07-28,2019,Q3,Latin America,,FS,66,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 708 (pre-split)"
de_rev606_latam,2019-07-28,2019,Q3,Latin America,,TOTAL,945,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 708 (pre-split)"
de_rev606_latam,2019-07-28,2019,Q3,Latin America,,AT_COMBINED,708,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. A&T 708 (pre-split)"
de_rev606_latam,2019-10-27,2019,Q4,Latin America,,CF,204,USDm,filing,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. derived FY-9M; A&T 866 (pre-split)"
de_rev606_latam,2019-10-27,2019,Q4,Latin America,,FS,73,USDm,filing,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"revenue from contracts with customers (ASC 606 footnote), NOT segment net sales. derived FY-9M; A&T 866 (pre-split)"
